Command: /project/verif/users/arielt/ws/ex_vlsi_switch_project_ariel/Synt/./simv +vcs+initreg+1 +ntb_random_seed_automatic +ERR_PKT -cm line+cond+fsm+branch+tgl -cm_dir ./cov_work/gls_simv.vdb -cm_name gls_final_submission -l gls_final_no_cg.log
Chronologic VCS simulator copyright 1991-2025
Contains Synopsys proprietary information.
Compiler version X-2025.06-1_Full64; Runtime version X-2025.06-1_Full64;  Jan  9 00:37 2026
NOTE: automatic random seed used: 983445339
Doing SDF annotation ...... Done
Loading SDF Delays from switch_4port.sdf...
--- Starting Simulation (Driver-Driven) ---
Number of packets about to be generated at each port:  60
[Monitor_0] ID:137 Name:monitored | Src:1000 Tgt:0111 | Data(Hex):4e Data(Dec):78 | Type:MDP
[Monitor_1] ID:138 Name:monitored | Src:1000 Tgt:0111 | Data(Hex):4e Data(Dec):78 | Type:MDP
[Monitor_2] ID:139 Name:monitored | Src:1000 Tgt:0111 | Data(Hex):4e Data(Dec):78 | Type:MDP
[Driver_2] ID:140 Name:pkt_2 | Src:0100 Tgt:0010 | Data(Hex):a8 Data(Dec):168 | Type:SDP
[Monitor_0] ID:141 Name:monitored | Src:0010 Tgt:0101 | Data(Hex):97 Data(Dec):151 | Type:MDP
[Monitor_2] ID:142 Name:monitored | Src:0010 Tgt:0101 | Data(Hex):97 Data(Dec):151 | Type:MDP
[Driver_0] ID:143 Name:pkt_0 | Src:0001 Tgt:1100 | Data(Hex):38 Data(Dec):56 | Type:MDP
[Checker] Predicted Drop: Packet ID 144 is INVALID (Src:1000 Tgt:1110). Ignoring.
[Driver_3] ID:144 Name:pkt_3 | Src:1000 Tgt:1110 | Data(Hex):d8 Data(Dec):216 | Type:MDP
[Monitor_1] ID:145 Name:monitored | Src:0100 Tgt:0010 | Data(Hex):a8 Data(Dec):168 | Type:SDP
[Checker] Predicted Drop: Packet ID 146 is INVALID (Src:0100 Tgt:0100). Ignoring.
[Driver_2] ID:146 Name:pkt_2 | Src:0100 Tgt:0100 | Data(Hex):39 Data(Dec):57 | Type:SDP
[Checker] Predicted Drop: Packet ID 147 is INVALID (Src:0010 Tgt:1011). Ignoring.
[Driver_1] ID:147 Name:pkt_1 | Src:0010 Tgt:1011 | Data(Hex):80 Data(Dec):128 | Type:MDP
[Driver_3] ID:148 Name:pkt_3 | Src:1000 Tgt:0100 | Data(Hex):6b Data(Dec):107 | Type:SDP
[Monitor_2] ID:149 Name:monitored | Src:0001 Tgt:1100 | Data(Hex):38 Data(Dec):56 | Type:MDP
[Monitor_3] ID:150 Name:monitored | Src:0001 Tgt:1100 | Data(Hex):38 Data(Dec):56 | Type:MDP
[Driver_3] ID:151 Name:pkt_3 | Src:1000 Tgt:0011 | Data(Hex):76 Data(Dec):118 | Type:MDP
[Checker] Predicted Drop: Packet ID 152 is INVALID (Src:0100 Tgt:0101). Ignoring.
[Driver_2] ID:152 Name:pkt_2 | Src:0100 Tgt:0101 | Data(Hex):c2 Data(Dec):194 | Type:MDP
[Monitor_2] ID:153 Name:monitored | Src:1000 Tgt:0100 | Data(Hex):6b Data(Dec):107 | Type:SDP
[Checker] Predicted Drop: Packet ID 154 is INVALID (Src:0001 Tgt:0011). Ignoring.
[Driver_0] ID:154 Name:pkt_0 | Src:0001 Tgt:0011 | Data(Hex):87 Data(Dec):135 | Type:MDP
[Checker] Predicted Drop: Packet ID 155 is INVALID (Src:0010 Tgt:0111). Ignoring.
[Driver_1] ID:155 Name:pkt_1 | Src:0010 Tgt:0111 | Data(Hex):12 Data(Dec):18 | Type:MDP
[Driver_3] ID:156 Name:pkt_3 | Src:1000 Tgt:0100 | Data(Hex):c0 Data(Dec):192 | Type:SDP
[Monitor_0] ID:157 Name:monitored | Src:1000 Tgt:0011 | Data(Hex):76 Data(Dec):118 | Type:MDP
[Monitor_1] ID:158 Name:monitored | Src:1000 Tgt:0011 | Data(Hex):76 Data(Dec):118 | Type:MDP
[Driver_0] ID:159 Name:pkt_0 | Src:0001 Tgt:1111 | Data(Hex):6a Data(Dec):106 | Type:BDP
