Command: /project/verif/users/arielt/ws/ex_vlsi_switch_project_ariel/Synt/./simv +vcs+initreg+1 +ntb_random_seed_automatic +ERR_PKT -cm line+cond+fsm+branch+tgl -cm_dir ./cov_work/gls_simv.vdb -cm_name gls_final_submission -l gls_final_cg_100mhz.log
Chronologic VCS simulator copyright 1991-2025
Contains Synopsys proprietary information.
Compiler version X-2025.06-1_Full64; Runtime version X-2025.06-1_Full64;  Jan 14 17:11 2026
NOTE: automatic random seed used: 2297481700
Doing SDF annotation ...... Done
--- Starting Simulation (Driver-Driven) ---
Number of packets about to be generated at each port:  50
[Monitor_2] ID:146 Name:monitored | Src:0001 Tgt:0110 | Data(Hex):31 Data(Dec):49 | Type:MDP
[Checker] Predicted Drop: Packet ID 147 is INVALID (Src:0010 Tgt:0110). Ignoring.
[Driver_1] ID:147 Name:pkt_1 | Src:0010 Tgt:0110 | Data(Hex):45 Data(Dec):69 | Type:MDP
[Checker] Predicted Drop: Packet ID 148 is INVALID (Src:0001 Tgt:1101). Ignoring.
[Driver_0] ID:148 Name:pkt_0 | Src:0001 Tgt:1101 | Data(Hex):ec Data(Dec):236 | Type:MDP
[Monitor_0] ID:149 Name:monitored | Src:1000 Tgt:1111 | Data(Hex):88 Data(Dec):136 | Type:BDP
[Monitor_1] ID:150 Name:monitored | Src:1000 Tgt:1111 | Data(Hex):88 Data(Dec):136 | Type:BDP
[Monitor_2] ID:151 Name:monitored | Src:1000 Tgt:1111 | Data(Hex):88 Data(Dec):136 | Type:BDP
[Monitor_3] ID:152 Name:monitored | Src:1000 Tgt:1111 | Data(Hex):88 Data(Dec):136 | Type:BDP
[Driver_2] ID:153 Name:pkt_2 | Src:0100 Tgt:0011 | Data(Hex):90 Data(Dec):144 | Type:MDP
[Driver_1] ID:154 Name:pkt_1 | Src:0010 Tgt:0101 | Data(Hex):96 Data(Dec):150 | Type:MDP
[Checker] Predicted Drop: Packet ID 155 is INVALID (Src:0001 Tgt:1011). Ignoring.
[Driver_0] ID:155 Name:pkt_0 | Src:0001 Tgt:1011 | Data(Hex):92 Data(Dec):146 | Type:MDP
[Checker] Predicted Drop: Packet ID 156 is INVALID (Src:1000 Tgt:1110). Ignoring.
[Driver_3] ID:156 Name:pkt_3 | Src:1000 Tgt:1110 | Data(Hex):79 Data(Dec):121 | Type:MDP
[Monitor_0] ID:157 Name:monitored | Src:0100 Tgt:0011 | Data(Hex):90 Data(Dec):144 | Type:MDP
